project_no|year|source_url|source_page|project_name|project_description|sector|ward|zone|location|work_item
1|2022|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|CONSTRUCTION OF 1X3 CLASSROOM BLOCK,STAFFHOUSE AND DRILLING AND EQUIPPING OF BOREHOLE AT HAMUNJO SCHOOL|Construction of a 1 X 3 CRB,a two bedroomed staff house and drilling/equipping of a solar powered borehole at Hamunjo Community School|EDUCATION|CHIRUNDU WEST|CHIBENDE|HAMUNJO COMMUNITY SCHOOL|
2|2022|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT MANGABA SCHOOL|Construction of 1 X3 CRB at Mangaba Primary School|EDUCATION|KANYANGA|MANGABA|MANGABA PRIMARY SCHOOL|
3|2022|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|CONSTRUCTION OF CLASSROOM BLOCK AT CHISAMU PRIMARY SCHOOL|Construction of 1X 3CRB at Chisamu Primary School|EDUCATION|NGOMBE ILEDE|CHISAMU|CHISAMU PRIMARY SCHOOL|
4|2022|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|CONSTRUCTION OF CLASSROOM BLOCK AT SIABULEMBO|Construction of 1X 3CRB at Siabulembo Community School|EDUCATION|MUSHUNGU|SIABULEMBO|SIABULEMBO PRIMARY SCHOOL|
5|2022|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|DRILLING AND EQUIIPING OF SOLAR POWERED BOREHOLE AT HACHIBBUBA|Drilling and equipping of one solar powered borehole with a water scheme at Hachibbubba|WATER|SIKOONGO|HACHIBBUBA|HACHIBBUBA VILLAGE|
6|2022|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|DRILLING AND EQUIIPING OF SOLAR POWERED BOREHOLE AT T-JUNCTION|Drilling and equipping of one solar powered borehole with a water scheme at T-junction|WATER|SIKOONGO|T-JUNCTION|T-JUNCTION|
7|2022|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|CONSTRUCTION OF CLASSROOM BLOCK AT MUNENGA COMMUNITY SCHOOL|Construction of 1x3 CRB at Munenga Community School|EDUCATION|LUSITU|MUNENGA|MUNENGA COMMUNITY SCHOOL|
8|2022|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|CONSTRUCTION OF CLASSROOM BLOCK AT CHIWENA COMMUNITY SCHOOL|Construction of 1x3 CRB at Chiwena Community School|EDUCATION|KAPULULIRA|CHIWENA|CHIWENA COMMUNITY SCHOOL|
9|2022|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|AT HAMBUTO PRIMARY SCHOOL|CONSTRCURTION OF 1X3 CLASSROOM BLOCKConstruction of 1x3 CRB at Hambuto Primary School|EDUCATION|IBBWEMUNYAM A|HAMBUTO|HAMBUTO PRIMARY SCHOOL|
10|2022|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|CONSTRUCTION OF STAFF HOUSE,ABLUTION BLOCK AND DRILLING AND EQUIPPING OF SOLAR POWERED BOREHOLE AT VELU HEALTH|Construction of Staff House Ablution Block and drilling/equipping of solar powered borehole at Velu Health Post|HEALTH|NKANDANBBWE||VELU HEALTH POST|
11|2022|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|CONSTRUCTION CLASSROOM BLOCK AT MANDENGA PRIMARY SCHOOL|Construction of 2x3 Double Storey CRB at Mandenga Primary School|EDUCATION|CHIRUNDU CENTRAL|MANADENGA|MANDENGA PRIMARY SCHOOL|
12|2022|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|CONSTRUCTION OF STAFF HOUSE AT MACHAVIKA PRIMARY SCHOOL|Construction of Semi-detached Staff House at Machavika Primary|EDUCATION|NJAME|MACHAVIKA|MACHAVIKA PRIMARY SCHOOL|
13|2022|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|CONSTRUCTION OF 1X3 CLASSROOM DRILLING AND EQUIPPING OF SOLAR POWERED BOREHOLE AT KATWEZELE PRIMARY SCHOOL|Construation of 1no 13 CRB,1no Staff House1no Ablution block and drilling/equipping of Ino Solar powered borehole at Katwezele Community School|EDUCATION|MUSAYA|KATWEZELE|KATRERU3NNmGiHOOIAMBTA CHIRUNDU DISTRICT COUNCIL|
14|2022|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|PROCUREMENT OF LANDCRUISER|PROCUREMENT OF CDF VEHICLE|TRANSPORT|ALL 12 WARDS||I 7 SEP 2024|
15|2022|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|PROCUREMENT OF DESKS|SUPPLY AND DELIVERY OF DESKS WORTH ZMWI,746,363.23|EDUCATION|ALL 12 WARDS||OFFICE OF THE COUNCIL SECR#TARY P.O.BOX30|
16|2022|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|CONSTRUCTION OF IX2 CRB AT KATWEZELE PRIMARY SCHOOL|CONSTRUCTION OF 1X2 CRB AT KATWEZELE PRIMARY SCHOOL|EDUCATION|MUSAYA|KATWEZELE|KATWEZELEEOFMUNNIVSIGOLJ|
1|2023|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|PROCUREMENT OF LAND CRUISER|PROCUREMENT OF POLICE VEHICLE|SECURITY|ALL12WARDS|ALL ZONES|ALL 12WARDS|
2|2023|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|CONSTRUCTION OF SPORTS FACILITY|CONSTRUCTION OF SPORTS FACILITY|SPORTS|ALL12 WARDS|ALL ZONES|ALL 12 WARDS|
