project_no|project_name|ward|zone|location|approval_comment
1|Construction of Solar powered borehole|Ibbwemunyama|Ibbwemunyama|Ibbwemunyama Rural Health Post|Approved
2|Community water project|Chirundu west|Chibende and Lusumpuko|Chibende and Lusumpuko Communities|Approved
3|Completion of Maternity Wing|Chirundu West|Chibende|Chibende|Approved
4|Construction of a 1x3 classroom block|Kapululira|Farao|Farao Community School|Approved
5|Construction of water borne toilets and solar powered borehole|Njame|Chibulameenda||Approved
6|"Construction of a Double Storey Classroom Block (3 classes per storey|Ngombe Illede with Offices)"||Kayuni|Proposed Ngombe lllede Sec.School|Approved
7|Upgrading of 10 hand pumps|Lusitu|All zones|10 villages|Approved
8|Construction of a staff house, ablution block and solar powered borehole|Kanyanga|Mangaba|Mangaba Community School|Approved
9|Upgrading of 20 boreholes|Sikoongo|All zones|10 -- Sikoongo zone, 04- Siachibubba zone and 06 T-Junction zone|Approved
10|Construction of a bridge|Nkaddabwe|Velu|Velu river|Approved
11|Procurement of a tipper truck, motor grader and drilling rig|Chirundu Central|All zones|All zones|1ZAMBIA
12|Construction of sports facility phase 2|Chirundu Central|All zones|All zones|Approve@HIRUNDU DISTRICY 3 O JU: ZC2S
13|Construction of a clinic|Mushungu|Simaundu|Simaundu|Approved,
14|Construction of a 1x3 classroom block|Musaya|Malengo|Naloba Community School|OFFICE OF THE CCUNCIL SECRETARY P.O.BOX30. CHIRUNDU Approved
