project_no|year|project_name|ward|zone|location|approval_comment|amount_zmw|implementation_status|source_url|source_page
1|2025|Construction of Solar powered borehole|Ibbwemunyama|Ibbwemunyama|Ibbwemunyama Rural Health Post|Approved|||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1
2|2025|Community water project|Chirundu West|Chibende and Lusumpuko|Chibende and Lusumpuko Communities|Approved|||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1
3|2025|Completion of Maternity Wing|Chirundu West|Chibende|Chibende|Approved|||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1
4|2025|Construction of a 1x3 classroom block|Kapululira|Farao|Farao Community School|Approved|||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1
5|2025|Construction of water borne toilets and solar powered borehole|Njame|Chibulameenda||Approved|||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1
6|2025|Construction of a Double Storey Classroom Block (3 classes per storey with Offices)|Ngombe Illede|Kayuni|Proposed Ngombe Illede Sec. School|Approved|||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1
7|2025|Upgrading of 10 hand pumps|Lusitu|All zones|10 villages|Approved|||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1
8|2025|Construction of a staff house, ablution block and solar powered borehole|Kanyanga|Mangaba|Mangaba Community School|Approved|||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1
9|2025|Upgrading of 20 boreholes|Sikoongo|All zones|10 – Sikoongo zone, 04-Siachibubba zone and 06-T-Junction zone|Approved|||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1
10|2025|Construction of a bridge|Nkadabwe|Velu|Velu river|Approved|||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1
11|2025|Procurement of a tipper truck, motor grader and drilling rig|Chirundu Central|All zones|All zones|Approved procurement of Motor grader|||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1
12|2025|Construction of sports facility phase 2|Chirundu Central|All zones|All zones|Approved|||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1
13|2025|Construction of a clinic|Mushungu|Simaundu|Simaundu|Approved|||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1
14|2025|Construction of a 1x3 classroom block|Musaya|Malengo|Naloba Community School|Approved|||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Approved-Community-Projects-.pdf|1
