project_no|year|project_name|project_description|sector|ward|zone|location|work_item|approval_status|approval_comment|amount_zmw|amount_type|implementation_status|source_url|source_page|notes
1|2022|CONSTRUCTION OF 1X3 CLASSROOM BLOCK,STAFFHOUSE AND DRILLING AND EQUIPPING OF BOREHOLE AT HAMUNJO SCHOOL|Construction of a 1 X 3 CRB,a two bedroomed staff house and drilling/equipping of a solar powered borehole at Hamunjo Community School|Education|Chirundu West|CHIBENDE|HAMUNJO COMMUNITY SCHOOL||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|
2|2022|CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT MANGABA SCHOOL|Construction of 1 X3 CRB at Mangaba Primary School|Education|Kanyanga|MANGABA|MANGABA PRIMARY SCHOOL||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|
3|2022|CONSTRUCTION OF CLASSROOM BLOCK AT CHISAMU PRIMARY SCHOOL|Construction of 1X 3CRB at Chisamu Primary School|Education|Ngombe Ilede|CHISAMU|CHISAMU PRIMARY SCHOOL||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|
4|2022|CONSTRUCTION OF CLASSROOM BLOCK AT SIABULEMBO|Construction of 1X 3CRB at Siabulembo Community School|Education|Mushungu|SIABULEMBO|SIABULEMBO PRIMARY SCHOOL||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|
5|2022|DRILLING AND EQUIPPING OF SOLAR POWERED BOREHOLE AT HACHIBBUBA|Drilling and equipping of one solar powered borehole with a water scheme at Hachibbubba|Water|Sikoongo|HACHIBBUBA|HACHIBBUBA VILLAGE||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|
6|2022|DRILLING AND EQUIPPING OF SOLAR POWERED BOREHOLE AT T-JUNCTION|Drilling and equipping of one solar powered borehole with a water scheme at T-junction|Water|Sikoongo|T-JUNCTION|T-JUNCTION||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|
7|2022|CONSTRUCTION OF CLASSROOM BLOCK AT MUNENGA COMMUNITY SCHOOL|Construction of 1x3 CRB at Munenga Community School|Education|Lusitu|MUNENGA|MUNENGA COMMUNITY SCHOOL||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|
8|2022|CONSTRUCTION OF CLASSROOM BLOCK AT CHIWENA COMMUNITY SCHOOL|Construction of 1x3 CRB at Chiwena Community School|Education|Kapululira|CHIWENA|CHIWENA COMMUNITY SCHOOL||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|
9|2022|CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT HAMBUTO PRIMARY SCHOOL|Construction of 1x3 CRB at Hambuto Primary School|Education|Ibbwemunyama|HAMBUTO|HAMBUTO PRIMARY SCHOOL||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|
10|2022|CONSTRUCTION OF STAFF HOUSE, ABLUTION BLOCK AND DRILLING AND EQUIPPING OF SOLAR POWERED BOREHOLE AT VELU HEALTH POST|Construction of Staff House Ablution Block and drilling/equipping of solar powered borehole at Velu Health Post|Health|Nkandanbbwe||VELU HEALTH POST||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|
11|2022|CONSTRUCTION CLASSROOM BLOCK AT MANDENGA PRIMARY SCHOOL|Construction of 2x3 Double Storey CRB at Mandenga Primary School|Education|Chirundu Central|MANDENGA|MANDENGA PRIMARY SCHOOL||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|
12|2022|CONSTRUCTION OF STAFF HOUSE AT MACHAVIKA PRIMARY SCHOOL|Construction of Semi-detached Staff House at Machavika Primary School|Education|Njame|MACHAVIKA|MACHAVIKA PRIMARY SCHOOL||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|
13|2022|CONSTRUCTION OF 1X3 CLASSROOM BLOCK, ABLUTION BLOCK, STAFF HOUSE, DRILLING AND EQUIPPING OF SOLAR POWERED BOREHOLE AT KATWEZELE PRIMARY SCHOOL|Construction of 1no 1x3 CRB, 1no Staff House, 1no Ablution block and drilling/equipping of 1no Solar powered borehole at Katwezele Community School|Education|Musaya|KATWEZELE|||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|Location text is obscured by the council stamp; left blank.
14|2022|PROCUREMENT OF LANDCRUISER|PROCUREMENT OF CDF VEHICLE|Transport|All 12 Wards||||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|Stamp text was removed from the location cell; no location recovered.
15|2022|PROCUREMENT OF DESKS|SUPPLY AND DELIVERY OF DESKS WORTH ZMW1,746,363.23|Education|All 12 Wards||||Approved list||1746363.23|Reported supply value||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|Amount is the reported value of desk supply, not confirmed expenditure. Stamp text was removed from the location cell.
16|2022|CONSTRUCTION OF 1X2 CRB AT KATWEZELE PRIMARY SCHOOL|CONSTRUCTION OF 1X2 CRB AT KATWEZELE PRIMARY SCHOOL|Education|Musaya|KATWEZELE|KATWEZELE COMMUNITY SCHOOL||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2022-CDF-approved-projects.pdf|1|Project name says Primary School; location says Community School. Source wording retained.
1|2023|PROCUREMENT OF LAND CRUISER|PROCUREMENT OF POLICE VEHICLE|Security|All 12 Wards|ALL ZONES|All 12 Wards||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|
2|2023|CONSTRUCTION OF SPORTS FACILITY|CONSTRUCTION OF SPORTS FACILITY|Sports|All 12 Wards|ALL ZONES|All 12 Wards||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|
3|2023|PROCUREMENT OF GRABAGE COMPACTOR TRUCK|PROCUREMENT OF GARBAGE COMAPCTOR TRUCK|Solid Waste Management|All 12 Wards|ALL ZONES|All 12 Wards||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|
4|2023|CONSTRUCTION OF CHIEFS PALACE IN SIKONGO CHIEFDOM|CONSTRUCTION OF CHIEFS PALACE IN SIKONGO CHIEFDOM|Chiefs And Traditional Affairs|Sikoongo||SIKOONGO||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|
5|2023|CDF SENSITISATION|CDF RADIO HOUR|Information And Communication|All 12 Wards|ALL ZONES|All 12 Wards||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|
6|2023|RURAL ELECTRIFICATION|PROVISION OF ELECTRICITY|Energy|All 12 Wards|ALL ZONES|All 12 Wards||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|
7|2023|CONSTRUCTION OF 1 ABLUTION BLOCK AT T-JUNCTION|CONSTRUCTION OF ABLUTION BLOCK WITH SOLAR POWERED WATER SUPPLY AT T-JUNCTION|Sanitation|Chirundu Central|MANDENGA|T-JUNCTION||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|
8|2023|CONSTRUCTION 2 OF ABLUTION BLOCKS AT MISSION MARKET AND YELLOW [text cut off]|CONSTRUCTION OF SANITATION FACILITIES AND SOLAR POWERED WATER SUPPLY AT MISSION AND YELLOW JACKET MARKET|Sanitation|Sikoongo|T-JUNCTION|MISSION AND YELLOW JACKET||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|Project-name text is cut off at the column edge; the description identifies Mission and Yellow Jacket markets.
9|2023|ROAD CONSTRUCTION AND MAINTENANCE IN ALL THE 12 WARDS|CONSTRUCTION AND MAINTENANCE OF 72 KM OF GRAVEL ROAD AND EQUIPMENT|Infrastructure|All 12 Wards|ALL ZONES|All 12 Wards||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|
10|2023|PROCUREMENT OF DESKS AT ZALAUNGA PRIMARY SCHOOL|PROCUREMENT OF 150 DESKS FOR ZALAUNGA PRIMARY SCHOOL|Education|Musaya|ZALAUNGA|ZALAUNGA PRIMARY SCHOOL||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|
11|2023|PROCUREMENT OF DESKS AT NYANZALA SCHOOL|PROCUREMENT OF 200 DESKS FOR NYANZALA PRIMARY SCHOOL|Education|Kapululira|NYANZALA|NYANZALA PRIMARY SCHOOL||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|
12|2023|PROCUREMENT OF DESKS AT KAYUNI PRIMARY SCHOOL|PROCUREMENT OF 210 DESKS AT KAYUNI PRIMARY SCHOOL|Education|Ngombe Ilede|KAYUNI|KAYUNI PRIMARY SCHOOL||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|
13|2023|PROCUREMENT OF DESKS AT MAUNGA PRIMARY SCHOOL|PROCUREMENT OF 200 DESKS AT MAUNGA PRIMARY SCHOOL|Education|Ibbwemunyama|MAUNGA|MAUNGA COMMUNITY SCHOOL||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|
14|2023|PROCUREMENT OF DESKS AT 4 MILES COMMUNITY SCHOOL|PROCUREMENT OF 100 DESKS FOR FOUR MILES COMMUNITY SCHOOL|Education|Chirundu West|LUSUMPUKO|FOUR MILES SCHOOL||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|
15|2023|CONSTRUCTION OF MATERNITY WING AT CHIBENDE CLINIC|CONSTRUCTION OF MATERNITY WINGS AT CHIBENDE CLINIC|Health|Chirundu West|CHIBENDE|CHIBENDE CLINIC||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|
16|2023|CONSTRUCTION OF DOMITORY AT NGOMBE ILEDE SECONDARY SCHOOL|CONSTRUCTION OF GIRLS DORMITORY AT NGOMBE ILEDE SECONDARY SCHOOL|Education|Ngombe Ilede|PAMBAZANA|NGOMBE ILEDE||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|
17|2023|REHABILITAION OF THE LUSITU WATER RETICULATION SYSTEM|Rehabilitation of Lusitu Water System to include Chilindi, Machavika, Chibulameenda, extension from Siamaundu to Siabulembo|Water|Lusitu, Njame, Ngombe Ilede||LUSITU||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|2|One source entry covers multiple wards; it has not been split into three projects.
18|2023|DRILLING AND EQUIPPING OF BOREHOLE AT NABBANDA CLINIC|DRILLING AND EQUIPPING OF SOLAR POWRED BOREHOLE AT NABBANDA CLINIC|Water|Kanyanga|NABBANDA|NABBANDA CLINI||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|2|The location cell ends CLINI in the source. Source spelling retained.
19|2023|INSTALLATION OF WATER SUPPLY NETWORK IN CHIRUNDU CENTRAL WARD|EXTENSION OF WATER SUPPLY IN KANENGUMBO, KADUNGA AND MANDENGA VILLAGE|Water|Chirundu Central||KANEGUMBO,MANDENGA AND KADUNGA VILLAGE||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|2|The project-name ending was read with the ward column. Description says KANENGUMBO; location says KANEGUMBO. Source spellings retained.
1|2024|CONSTRUCTION OF 1X2 CRB, INSTALLATION AND EQUIPPING OF SOLAR POWERED BOREHOLE, CONSTRUCTION OF TOILETS, AT ZALAUNGA PRIMARY SCHOOL||Education|Musaya||||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|
2|2024|CONSTRUCTION OF 1X3 CRB AT SIKOONGO SKILLS CENTER||Community Development|Sikoongo||||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|
3|2024|CONSTRUCTION OF TOILETS AT SIKOONGO SKILLS CENTER||Sanitation|Sikoongo||||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|
4|2024|UPGRADING OF SOLAR POWEREDBOREHOLES;HAMBEZO SCHOOL, MWEEMBA VILLAGE& CHINEUUNI VILLAGE||Water|Kanyanga||||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|
5|2024|CONSTRUCTION OF 1X3 CRB & ABLUTION BLOCK AT NAMABUYU SCHOOL||Education|Njame||||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|
