no|project_name|ward|zone|location|comment|approval_status|year|source_url|source_document
1|Construction of 1x3 Classroom block|Ibbwemunyama|Ibbwemunyama|Ibbwemunyama Sec. School|Not approved due to limited funding|Not Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
2|Construction of Solar powered borehole|Ibbwemunyama|Ibbwemunyama|Ibbwemunyama Rural Health Post|Approved|Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
3|Construction of Clinic|Ibbwemunyama|Hambuto|Hambuto|Not approved due to limited funding|Not Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
4|Construction of Solar powered borehole|Ibbwemunyama|Ibbwemunyama|Muyaya Village|Not approved due to limited funding|Not Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
5|Community water project|Chirundu West|Chibende and Lusumpuko|Chibende and Lusumpuko Communities|Approved|Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
6|Completion of Maternity Wing|Chirundu West|Chibende|Chibende|Approved|Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
7|Construction of a 1x3 classroom block|Kapululira|Farao|Farao Community School|Approved|Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
8|Construction of a 1x3 classroom block, rehabilitation of the ablution block and construction of 3 staff houses|Kapululira|Munenga|Nyanzala Primary School|Not approved due to limited funding|Not Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
9|Construction of a 1x3 Classroom block|Njame|Chilindi|Chilindi Primary School|Not approved due to limited funding|Not Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
10|Construction of 1x3 CRB with solar system and procurement of 60 desks|Njame|Machavika|Machavika Primary School|Not approved due to limited funding|Not Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
11|Construction of water borne toilets and solar powered borehole|Njame|Chibulameenda||Approved|Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
12|Construction of a Double Storey Classroom Block (3 classes per storey with Offices)|Ngombe Illede|Kayuni|Proposed Ngombe Illede Sec. School|Approved|Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
13|Construction of 4 staff houses|Ngombe Illede|Pambazana|Pambazana Primary School|Not approved due to limited funding|Not Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
14|Upgrading of 10 hand pumps|Lusitu|All zones|10 villages|Approved|Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
15|Construction of a staff house, ablution block and solar powered borehole|Kanyanga|Mangaba|Mangaba Community School|Approved|Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
16|Construction of a 1x3 Classroom Block, a staff house, solar powered borehole and an ablution block|Kanyanga|Siambezyo|Siambezyo Community|Not approved due to limited funding|Not Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
17|Construction of 1x3 Classroom block and 4 Staff Houses|Kanyanga|Nabbanda|Nabbanda Primary School|Not approved due to limited funding|Not Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
18|Upgrading of 20 boreholes|Sikoongo|All zones|10 - Sikoongo zone, 04-Siachibubba zone and 06-T-Junction zone|Approved|Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
19|Construction of a bridge|Nkaddabwe|Velu|Velu river|Approved|Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
20|Construction of a 1x3 Classroom Block, a staff house and an ablution block|Nkaddabwe|Nkaddabwe|Nkaddabwe Primary School|Not approved due to limited funding|Not Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
21|Procurement of a tipper truck, motor grader and drilling rig|Chirundu Central|All zones|All zones|Approved procurement of Motor grader|Partially Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
22|Construction of sports facility phase 2|Chirundu Central|All zones|All zones|Approved|Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
23|Construction of a clinic|Mushungu|Simaundu|Simaundu|Approved|Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
24|Construction of a market shelter, ablution block and solar powered borehole|Mushungu|Sitinkwi|Sitinkwi|Not approved due to limited funding|Not Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
25|Construction of a 1x3 classroom block|Musaya|Malengo|Naloba Community School|Approved|Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
26|Construction of 3 staff houses|Musaya|Syangweemu|Syangweemu Rural Health Post|Not approved due to limited funding|Not Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
27|Construction of a clinic, a staff house, incinerator and ablution block|Musaya|Katwezele|Katwezele Community|Not approved due to limited funding|Not Approved|2025|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/2025-Unapproved-and-Approved-Community-Projects-1.pdf|055--2025-Unapproved-and-Approved-Community-Projects-1.pdf
