project_name|ward|year|approval_status|project_type|member_file
Construction of 1x3 Classroom Block, Staff House and Drilling and Equipping of Borehole at Hamunjo School|Chirundu West|2022|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2022.csv
Construction of 1x3 Classroom Block at Mangaba School|Kanyanga|2022|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2022.csv
Construction of Classroom Block at Chisamu Primary School|Ngombe Ilede|2022|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2022.csv
Construction of Classroom Block at Siabulembo Primary School|Mushungu|2022|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2022.csv
Drilling and Equipping of Solar Powered Borehole at Hachibbuba|Sikoongo|2022|Approved|Water|db-unza26-csc4792-chirundu_cdf_projects_2022.csv
Drilling and Equipping of Solar Powered Borehole at T-Junction|Sikoongo|2022|Approved|Water|db-unza26-csc4792-chirundu_cdf_projects_2022.csv
Construction of Classroom Block at Munenga Community School|Lusitu|2022|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2022.csv
Construction of Classroom Block at Chiwena Community School|Kapululira|2022|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2022.csv
Construction of 1x3 Classroom Block at Hambuto Primary School|Ibwemunyama|2022|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2022.csv
Construction of Staff House, Ablution Block and Drilling and Equipping of Solar Powered Borehole at Velu Health Post|Nkandanbbwe|2022|Approved|Health|db-unza26-csc4792-chirundu_cdf_projects_2022.csv
Construction Classroom Block at Mandenga Primary School|Chirundu Central|2022|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2022.csv
Construction of Staff House at Machavika Primary School|Njame|2022|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2022.csv
Construction of 1x3 Classroom Block, Ablution Block, Staff House, Drilling and Equipping of Solar Powered Borehole at Katwezele Primary School|Musaya|2022|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2022.csv
Procurement of Landcruiser|All 12 Wards|2022|Approved|Transport|db-unza26-csc4792-chirundu_cdf_projects_2022.csv
Procurement of Desks|All 12 Wards|2022|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2022.csv
Construction of 1x2 CRB at Katwezele Primary School|Musaya|2022|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2022.csv
Procurement of Land Cruiser|All 12 Wards|2023|Approved|Security|db-unza26-csc4792-chirundu_cdf_projects_2023.csv
Construction of Sports Facility|All 12 Wards|2023|Approved|Sports|db-unza26-csc4792-chirundu_cdf_projects_2023.csv
Procurement of Grabage Compactor Truck|All 12 Wards|2023|Approved|Solid Waste Management|db-unza26-csc4792-chirundu_cdf_projects_2023.csv
Construction of Chiefs Palace in Sikoongo Chiefdom|Sikoongo|2023|Approved|Chiefs and Traditional Affairs|db-unza26-csc4792-chirundu_cdf_projects_2023.csv
CDF Sensitisation|All 12 Wards|2023|Approved|Information and Communication|db-unza26-csc4792-chirundu_cdf_projects_2023.csv
Rural Electrification|All 12 Wards|2023|Approved|Energy|db-unza26-csc4792-chirundu_cdf_projects_2023.csv
Construction of 1 Ablution Block at T-Junction|Chirundu Central|2023|Approved|Sanitation|db-unza26-csc4792-chirundu_cdf_projects_2023.csv
Construction 2 of Ablution Blocks at Mission Market and Yellow Jacket Market|Sikoongo|2023|Approved|Sanitation|db-unza26-csc4792-chirundu_cdf_projects_2023.csv
Road Construction and Maintenance in All the 12 Wards|All 12 Wards|2023|Approved|Infrastructure|db-unza26-csc4792-chirundu_cdf_projects_2023.csv
Procurement of Desks at Zalaunga Primary School|Musaya|2023|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2023.csv
Procurement of Desks at Nyanzala School|Kapululira|2023|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2023.csv
Procurement of Desks at Kayuni Primary School|Ngombe Ilede|2023|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2023.csv
Procurement of Desks at Maunga Primary School|Ibbwemunyama|2023|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2023.csv
Procurement of Desks at 4 Miles Community School|Chirundu West|2023|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2023.csv
Construction of Maternity Wing at Chibende Clinic|Chirundu West|2023|Approved|Health|db-unza26-csc4792-chirundu_cdf_projects_2023.csv
Construction of Dormitory at Ngombe Ilede Secondary School|Ngombe Ilede|2023|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2023.csv
Rehabilitation of the Lusitu Water Reticulation System|Lusitu, Njame, Ngombe Ilede|2023|Approved|Water|db-unza26-csc4792-chirundu_cdf_projects_2023.csv
Drilling and Equipping of Borehole at Nabbanda Clinic|Kanyanga|2023|Approved|Water|db-unza26-csc4792-chirundu_cdf_projects_2023.csv
Installation of Water Supply Network in Chirundu Central Ward|Chirundu Central|2023|Approved|Water|db-unza26-csc4792-chirundu_cdf_projects_2023.csv
Construction of 1x2 CRB, Installation and Equipping of Solar Powered Borehole, Construction of Toilets, at Zalaunga Primary School|Musaya|2024|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2024.csv
Construction of 1x3 CRB at Sikongo Skills Center|Sikoongo|2024|Approved|Community Development|db-unza26-csc4792-chirundu_cdf_projects_2024.csv
Construction of Toilets at Sikongo Skills Center|Sikoongo|2024|Approved|Sanitation|db-unza26-csc4792-chirundu_cdf_projects_2024.csv
Upgrading of Solar Powered Boreholes; Hambezo School, Mweemba Village & Chienjuni Village|Kanyanga|2024|Approved|Water|db-unza26-csc4792-chirundu_cdf_projects_2024.csv
Construction of 1x3 CRB & Ablution Block at Namabuyu School|Njame|2024|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2024.csv
Construction of Two Staff Houses at Pambazana Primary School|Ngombe Ilede|2024|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2024.csv
Installation and Equipping of Solar Powered Borehole at Matealinga Health Post|Nkandabbwe|2024|Approved|Water|db-unza26-csc4792-chirundu_cdf_projects_2024.csv
Construction of Staff House at Lusitu East Primary School|Lusitu|2024|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2024.csv
Construction of 1x3 CRB, Ablution, Installation and Equipping of Solar Powered Borehole at Maunga|Ibbwemunyama|2024|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2024.csv
Construction of Staff House, Ablution Block, and Solar Powered Borehole at Siabulembo Primary School|Mushungu|2024|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2024.csv
Installation of Solar Powered Water System in Kapululira|Kapululira|2024|Approved|Water|db-unza26-csc4792-chirundu_cdf_projects_2024.csv
Construction of 1x3 CRB, Ablution Block, Installation and Equipping of Solar Powered Boreholes at Chipepo Community School|Chirundu West|2024|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2024.csv
Purchase of Desks|All 12 Wards|2024|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2024.csv
Purchase of Ambulance|All 12 Wards|2024|Approved|Health|db-unza26-csc4792-chirundu_cdf_projects_2024.csv
Procurement of Motorbikes|All 12 Wards|2024|Approved|Traditional Affairs|db-unza26-csc4792-chirundu_cdf_projects_2024.csv
Construction of Solar Powered Borehole at Ibbwemunyama Rural Health Post|Ibbwemunyama|2025|Approved|Water|db-unza26-csc4792-chirundu_cdf_projects_2025.csv
Construction of a Community Water Project in Chirundu West|Chirundu West|2025|Approved|Water|db-unza26-csc4792-chirundu_cdf_projects_2025.csv
Construction of a 1x3 Classroom Block at Farao Community School|Kapululira|2025|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2025.csv
Construction of a Solar Powered Borehole at Chibulemenda|Njame|2025|Approved|Water|db-unza26-csc4792-chirundu_cdf_projects_2025.csv
Construction of a 1x6 Double Storey Classroom Block at Kayuni Secondary School|Ngombe Ilede|2025|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2025.csv
Upgrading of Hand Pumps in Lusitu Ward|Lusitu|2025|Approved|Water|db-unza26-csc4792-chirundu_cdf_projects_2025.csv
Construction of a Solar Powered Borehole and Ablution Block at Mangaba Community School|Kanyanga|2025|Approved|Water|db-unza26-csc4792-chirundu_cdf_projects_2025.csv
Upgrading of Boreholes in Sikoongo Ward|Sikoongo|2025|Approved|Water|db-unza26-csc4792-chirundu_cdf_projects_2025.csv
Construction of a Bridge at Velu River|Nkaddabwe|2025|Approved|Infrastructure|db-unza26-csc4792-chirundu_cdf_projects_2025.csv
Procurement of a Motor Grader|All Wards|2025|Approved|Infrastructure|db-unza26-csc4792-chirundu_cdf_projects_2025.csv
Construction of Sports Facility Phase 2|Chirundu Central|2025|Approved|Sports|db-unza26-csc4792-chirundu_cdf_projects_2025.csv
Construction of a Clinic in Simaundu|Mushungu|2025|Approved|Health|db-unza26-csc4792-chirundu_cdf_projects_2025.csv
Construction of a 1x3 Classroom Block at Naluba Community School|Musaya|2025|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2025.csv
Completion of Chibende Maternity Annex|Chirundu West|2025|Approved|Health|db-unza26-csc4792-chirundu_cdf_projects_2025.csv
Construction of 1x3 CRB, 1 Staff House, a Solar Powered Borehole and Maternity Annex|Ibbwemunyama|2026|Approved|Education|db-unza26-csc4792-chirundu_cdf_projects_2026.csv
