project_name|ward|year|approval_status|project_type
Procurement of Land Cruiser|All 12 Wards|2023|Approved|Security
Construction of Sports Facility|All 12 Wards|2023|Approved|Sports
Procurement of Grabage Compactor Truck|All 12 Wards|2023|Approved|Solid Waste Management
Construction of Chiefs Palace in Sikoongo Chiefdom|Sikoongo|2023|Approved|Chiefs and Traditional Affairs
CDF Sensitisation|All 12 Wards|2023|Approved|Information and Communication
Rural Electrification|All 12 Wards|2023|Approved|Energy
Construction of 1 Ablution Block at T-Junction|Chirundu Central|2023|Approved|Sanitation
Construction 2 of Ablution Blocks at Mission Market and Yellow Jacket Market|Sikoongo|2023|Approved|Sanitation
Road Construction and Maintenance in All the 12 Wards|All 12 Wards|2023|Approved|Infrastructure
Procurement of Desks at Zalaunga Primary School|Musaya|2023|Approved|Education
Procurement of Desks at Nyanzala School|Kapululira|2023|Approved|Education
Procurement of Desks at Kayuni Primary School|Ngombe Ilede|2023|Approved|Education
Procurement of Desks at Maunga Primary School|Ibbwemunyama|2023|Approved|Education
Procurement of Desks at 4 Miles Community School|Chirundu West|2023|Approved|Education
Construction of Maternity Wing at Chibende Clinic|Chirundu West|2023|Approved|Health
Construction of Dormitory at Ngombe Ilede Secondary School|Ngombe Ilede|2023|Approved|Education
Rehabilitation of the Lusitu Water Reticulation System|Lusitu, Njame, Ngombe Ilede|2023|Approved|Water
Drilling and Equipping of Borehole at Nabbanda Clinic|Kanyanga|2023|Approved|Water
Installation of Water Supply Network in Chirundu Central Ward|Chirundu Central|2023|Approved|Water
