no|project_name|project_description|sector|type|ward|amount_applied|year|amount_applied_zmw|source_url|source_document
1|Construction of Wall Fence at Chirundu High School|Construction of Wall Fence at Chirundu High School|Education||Chirundu Central|K580,000.00|2023|580000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/06/2023-CDF-Proposed-Community-Projects.pdf|057--2023-CDF-Proposed-Community-Projects.pdf
2|Construction of 1x3 CRB at Chirundu High School|Construction of 1x3 CRB at Chirundu High School|Education||Chirundu Central|K485,000.00|2023|485000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/06/2023-CDF-Proposed-Community-Projects.pdf|057--2023-CDF-Proposed-Community-Projects.pdf
3|Construction of Double Storey CRB at Mandenga School|Construction of Double Storey CRB at Mandenga School|Education||Chirundu Central||2023||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/06/2023-CDF-Proposed-Community-Projects.pdf|057--2023-CDF-Proposed-Community-Projects.pdf
4|Construction of Clinic at Taala|Construction of Clinic at Taala|Health||Chirundu West|K174,961.00|2023|174961.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/06/2023-CDF-Proposed-Community-Projects.pdf|057--2023-CDF-Proposed-Community-Projects.pdf
5|Construction of 1x3 CRB at Hamunjo Community School|Construction of 1x3 CRB at Hamunjo Community School|Education||Chirundu West|K961,130.37|2023|961130.37|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/06/2023-CDF-Proposed-Community-Projects.pdf|057--2023-CDF-Proposed-Community-Projects.pdf
6|Construction of 1x3 CRB at Mangaba Primary School|Construction of 1x3 CRB at Mangaba Primary School|Education||Kanyanga|K485,058.73|2023|485058.73|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/06/2023-CDF-Proposed-Community-Projects.pdf|057--2023-CDF-Proposed-Community-Projects.pdf
7|Construction of 1x3 CRB at Nabbanda Primary School|Construction of 1x3 CRB at Nabbanda Primary School|Education||Kanyanga|K520,000.00|2023|520000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/06/2023-CDF-Proposed-Community-Projects.pdf|057--2023-CDF-Proposed-Community-Projects.pdf
8|Construction of 1x3 CRB at Jamba Primary School|Construction of 1x3 CRB at Jamba Primary School|Education||Kanyanga|K485,058.73|2023|485058.73|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/06/2023-CDF-Proposed-Community-Projects.pdf|057--2023-CDF-Proposed-Community-Projects.pdf
9|Construction of 1x3 CRB at Chiwena Community School|Construction of 1x3 CRB at Chiwena Community School|Education||Kapululira|K500,000.00|2023|500000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/06/2023-CDF-Proposed-Community-Projects.pdf|057--2023-CDF-Proposed-Community-Projects.pdf
10|Construction of 1x3 CRB at Nyanzala Primary School|Construction of 1x3 CRB at Nyanzala Primary School|Education||Kapululira|K500,000.00|2023|500000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/06/2023-CDF-Proposed-Community-Projects.pdf|057--2023-CDF-Proposed-Community-Projects.pdf
11|Construction of Health Post at Farao|Construction of Health Post at Farao|Health||Kapululira||2023||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/06/2023-CDF-Proposed-Community-Projects.pdf|057--2023-CDF-Proposed-Community-Projects.pdf
12|Construction of 1x3 CRB at Pambazana Primary School|Construction of 1x3 CRB at Pambazana Primary School|Education||Ngombe Ilede||2023||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/06/2023-CDF-Proposed-Community-Projects.pdf|057--2023-CDF-Proposed-Community-Projects.pdf
13|Construction of 1x3 CRB at Chisamu Primary School|Construction of 1x3 CRB at Chisamu Primary School|Education||Ngombe Ilede||2023||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/06/2023-CDF-Proposed-Community-Projects.pdf|057--2023-CDF-Proposed-Community-Projects.pdf
14|Construction of Market Shelter, Ablution Block and Borehole|Construction of Market Shelter, Ablution Block and Borehole|||Mushungu||2023||http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/06/2023-CDF-Proposed-Community-Projects.pdf|057--2023-CDF-Proposed-Community-Projects.pdf
15|Construction of 1x3 CRB at Siabulembo Community School|Construction of 1x3 CRB at Siabulembo Community School|Education||Mushungu|K50,000.00|2023|50000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/06/2023-CDF-Proposed-Community-Projects.pdf|057--2023-CDF-Proposed-Community-Projects.pdf
