record_id|source_no|project_name|province|constituency|ward|amount_applied|year|amount_applied_zmw|source_url|source_document
1|1|Construction of 1x3 CRB, one semi detached, installation and equipping of one solar powered bore hole, construction of ablution block, purchase of 75 desks at Hachibbuba Primary School|Southern|Chirundu|Sikoongo|K2,262,500.00|2024|2262500.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
2|2|Construction of 1x3 CRB, one semi detached, installation and equipping of one solar powered bore hole, construction of ablution block, purchase of 75 desks at T-Junction Primary School|Southern|Chirundu|Sikoongo|K2,103,991.29|2024|2103991.29|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
3|3|Construction of maternity wing, mothers shelter, installation and equipping of one solar powered bore hole and one ablution block at Sikoongo Health Centre|Southern|Chirundu|Sikoongo|K1,600,000.00|2024|1600000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
4|4|Rehabilitation of two CRBs, installation of solar power (electrification), construction of four staff houses, installation and equipping of solar powered borehole, construction of toilets, construction of pre-school at Zalaunga Primary School|Southern|Chirundu|Musaya|K1,700,000.00|2024|1700000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
5|5|Construction of water pipeline from Zalaunga to Katwezele|Southern|Chirundu|Musaya|K3,000,000.00|2024|3000000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
6|6|Construction of five staff houses at Syangweemu Primary School|Southern|Chirundu|Musaya|K1,500,000.00|2024|1500000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
7|7|Construction of four staff houses, ablution block and solar powered borehole at Siabulembo Primary School|Southern|Chirundu|Mushungu|K700,000.00|2024|700000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
8|8|Construction of clinic and staff house, ablution block, installation and equipping of solar powered borehole and construction of an incinerator in Siabulembo|Southern|Chirundu|Mushungu|K2,820,000.00|2024|2820000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
9|9|Construction of 1x3 CRB, two staff houses, toilets and installation and equipping of solar powered borehole in Nzimbe|Southern|Chirundu|Mushungu|K800,000.00|2024|800000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
10|10|Construction of 1x3 CRB and five teachers houses at Pambazana Primary School|Southern|Chirundu|Ngombe Ilede|K968,598.00|2024|968598.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
11|11|Construction of four teachers houses and connection of electricity at Chisamu Primary School|Southern|Chirundu|Ngombe Ilede|K2,520,000.00|2024|2520000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
12|12|Construction of 2x3 CRBs at Kayuni Primary School|Southern|Chirundu|Ngombe Ilede|K2,989,052.01|2024|2989052.01|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
13|13|Construction of 1x3 CRB at Nkandabbwe Primary School|Southern|Chirundu|Nkandabbwe||2024||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
14|14|Construction of market shelter, ablution block and installation and equipping of solar powered borehole|Southern|Chirundu|Nkandabbwe|K485,058.73|2024|485058.73|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
15|15|Installation and equipping of solar powered borehole in Sialuselo|Southern|Chirundu|Nkandabbwe|K50,000.00|2024|50000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
16|16|Installation and equipping of solar powered borehole in Velu|Southern|Chirundu|Nkandabbwe|K40,000.00|2024|40000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
17|17|Construction of sports facility (football, netball, volleyball and basketball)|Southern|Chirundu|Chirundu Central|K2,200,000.00|2024|2200000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
18|18|Construction of maternity wing, construction of three staff houses at Lumbembe Health Centre|Southern|Chirundu|Njame|K712,915.50|2024|712915.5|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
19|19|Construction of 1x3 CRB, ablution block, staff house, installation and equipping of solar powered borehole, purchase of 75 desks at Namabuyu Community School|Southern|Chirundu|Njame|K2,212,500.00|2024|2212500.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
20|22|Construction of 1x3 CRB, installation of solar power, installation of solar powered borehole and purchase of 75 desks at Machavika Primary School|Southern|Chirundu|Njame|K900,000.00|2024|900000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
21|21|Construction of 1x3 CRB and purchase of 210 desks at Chilindi Primary School|Southern|Chirundu|Njame|K682,664.95|2024|682664.95|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
22|22|Installation and equipping of six solar powered boreholes; Mangaba School, Hambezo School, Jamba Village, Mapoto Village, Nabbanda School, Powerline School|Southern|Chirundu|Kanyanga|K1,200,000.00|2024|1200000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
23|23|Construction of 1x3 CRB, staff house and ablution block at Jamba Primary School|Southern|Chirundu|Kanyanga|K485,058.73|2024|485058.73|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
24|24|Construction of 1x3 CRB, two teachers houses, procurement of 150 desks and ablution block at Powerline Community School||Chirundu|Kanyanga|K1,700,000.00|2024|1700000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
25|24|Construction of clinic, two staff houses, four water borne toilets and installation of solar powered borehole in Hambuto|Southern|Chirundu|Ibbwemunyama|K500,000.00|2024|500000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
26|25|Construction of 1x4 CRB, one staff house, toilets, piped water and purchase of 100 desks at Maunga Community School|Southern|Chirundu|Ibbwemunyama|K650,000.00|2024|650000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
27|26|Installation of solar powered water system at Hachipilika Clinic|Southern|Chirundu|Ibbwemunyama|K65,000.00|2024|65000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
28|27|Construction of community hall in Ibbwemunyama|Southern|Chirundu|Ibbwemunyama|K450,000.00|2024|450000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
29|28|Construction of a clinic at Chikanzaya|Southern|Chirundu|Ibbwemunyama|K750,000.00|2024|750000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
30|29|Construction of 1x4 CRB at Ibbwemunyama Secondary School|Southern|Chirundu|Ibbwemunyama|K2,160,000.00|2024|2160000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
31|30|Installation of solar powered water system in Kapululira|Southern|Chirundu|Kapululira|K200,000.00|2024|200000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
32|31|Construction of four teachers houses, ablution block at Chiwena Primary School||Chirundu|Kapululira|K600,000.00|2024|600000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/12/2024-CDF-Proposed-Community-Projects-1-1.pdf|056--2024-CDF-Proposed-Community-Projects-1-1.pdf
