fiscal_year|record_type|section|line_item|amount_current_zmw|amount_prior_zmw|approved_budget_zmw|actual_zmw|variance_zmw|variance_pct|is_material_variance|notes|source_document|source_page
2023|receipt||Local Taxes|325162.0|695694.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|11
2023|receipt||Fees and Charges|19134695.0|8638097.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|11
2023|receipt||Licences|220900.0|183360.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|11
2023|receipt||Levies|163188.0|140638.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|11
2023|receipt||Permits|1522608.0|1164859.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|11
2023|receipt||Local Government Equalisation Fund|8833102.0|8731522.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|11
2023|receipt||Constituency Development Fund|27261470.0|23739911.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|11
2023|receipt||Other Grants|12020.0|277720.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|11
2023|receipt||Borrowings|0.0|0.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|11
2023|receipt||Commercial Venture|77959.0|0.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|11
2023|receipt||Other Receipts|317359.0|410627.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|11
2023|payment||Personal Emoluments|14807445.0|11683871.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|11
2023|payment||Use of Goods and Services|15921998.0|12865891.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|11
2023|payment||Financial Charges|0.0|0.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|11
2023|payment||Social Benefits|9500657.0|0.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|11
2023|payment||Non-financial Assets Acquisition|15097519.0|3099650.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|11
2023|payment||Financial Assets|5964128.0|44055.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|11
2023|payment||Loan Repayments|0.0|0.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|11
2023|payment||Other Payments|0.0|660413.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|11
2023|budget_vs_actual|Receipt|Local Taxes|||450730.0|325162.0|-125568.0|-28.0|True||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12
2023|budget_vs_actual|Receipt|Fees and Charges|||12154054.0|19134695.0|6980641.0|57.0|True||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12
2023|budget_vs_actual|Receipt|Licences|||323550.0|220900.0|-102650.0|-32.0|True||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12
2023|budget_vs_actual|Receipt|Levies|||141750.0|163188.0|21438.0|15.0|False||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12
2023|budget_vs_actual|Receipt|Permits|||1920300.0|1522608.0|-397692.0|-21.0|True||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12
