fiscal_year|period|record_type|section|line_item|amount_current_zmw|amount_prior_zmw|approved_budget_zmw|actual_zmw|variance_zmw|variance_pct|is_material_variance|notes|source_document|source_page
2025|H1|receipt|National Support|Local Government Equalisation Fund|||8399999.98|3056652.61|5343347.37|36.4|True||2025 BI ANNUAL PERFORMANCE REPORT.pdf|1
2025|H1|receipt|National Support|Grants In Lieu of Rates|||150000.0|150000.0|0.0|100.0|True||2025 BI ANNUAL PERFORMANCE REPORT.pdf|1
2025|H1|receipt|National Support|Sector Grants|||13205709.0|4697433.69|8508275.31|35.6|True||2025 BI ANNUAL PERFORMANCE REPORT.pdf|1
2025|H1|receipt|National Support|ZDSP Capital Grants|||8340000.0|0.0|8340000.0|0.0|False||2025 BI ANNUAL PERFORMANCE REPORT.pdf|1
2025|H1|receipt|National Support|Constituency Development Fund|||36058150.6|20287381.52|15770769.08|56.3|True||2025 BI ANNUAL PERFORMANCE REPORT.pdf|1
2025|H1|receipt|National Support|Other Grants|||3200587.0|0.0|3200587.0|0.0|False||2025 BI ANNUAL PERFORMANCE REPORT.pdf|1
2025|H1|receipt|Own Source Revenue|Local Taxes|||795014.43|274579.26|520435.17|34.5|True||2025 BI ANNUAL PERFORMANCE REPORT.pdf|1
2025|H1|receipt|Own Source Revenue|Fee & Charges|||29171743.17|11372766.2|17798976.97|39.0|True||2025 BI ANNUAL PERFORMANCE REPORT.pdf|1
2025|H1|receipt|Own Source Revenue|Licences|||505480.0|141606.0|363874.0|28.0|True||2025 BI ANNUAL PERFORMANCE REPORT.pdf|1
2025|H1|receipt|Own Source Revenue|Levies|||231386.67|63477.5|167909.17|27.4|True||2025 BI ANNUAL PERFORMANCE REPORT.pdf|1
2025|H1|receipt|Own Source Revenue|Permits|||2561580.0|1244991.2|1316588.8|48.6|True||2025 BI ANNUAL PERFORMANCE REPORT.pdf|1
2025|H1|receipt|Own Source Revenue|Commercial ventures|||1000000.0|0.0|1000000.0|0.0|False||2025 BI ANNUAL PERFORMANCE REPORT.pdf|1
2025|H1|receipt|Own Source Revenue|Others OSR|||309765.0|355200.0|-45435.0|114.7|True||2025 BI ANNUAL PERFORMANCE REPORT.pdf|1
2025|H1|receipt|Other revenue|Other revenue|||34574969.27|13452620.26|21122349.01|38.9|True||2025 BI ANNUAL PERFORMANCE REPORT.pdf|1
2025|H1|payment||Personal emoluments|||21313109.1|10505097.94|10808011.16|49.3|True||2025 BI ANNUAL PERFORMANCE REPORT.pdf|1
