year|programme_code|programme|amount_zmw|source_url|source_page
2022|1|Constituency Development|25700000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|4
2022|2|Local Governance|825680.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|4
2022|3|Integrated Development Planning|3855287.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|4
2022|4|Economic and Business Development|1188000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|4
2022|5|Public Health and Environmental Protection|576235.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|4
2022|6|Housing and Community Amenities|2999594.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|4
2022|7|Recreation Culture and Religion|127180.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|4
2022|8|Education and Skills Development|11800.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|4
2022|10|Public Order and Safety|849490.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|4
2022|11|Management and Support Services|9861556.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|4
2022|12|Resource Mobilisation and Management|4036162.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|4
2023|1|Constituency Development|28300000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|5
2023|2|Local Governance|984650.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|5
2023|3|Integrated Development Planning|1167060.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|5
2023|4|Economic and Business Development|1335960.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|5
2023|5|Public Health and Environmental Protection|3746811.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|5
2023|6|Housing and Community Amenities|6452483.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|5
2023|7|Recreation Culture and Religion|130680.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|5
2023|8|Education and Skills Development|130500.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|5
2023|9|Social Protection|356500.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|5
2023|10|Public Order and Safety|219472.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|5
2023|11|Management and Support Services|5722070.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|5
2023|12|Resource Mobilisation and Management|4519579.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|5
2024|1|Constituency Development|30635642.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/08/Chirundu-Town-Council-OBB-Budget-2024-Final.pdf|3
2024|2|Local Governance|1377628.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/08/Chirundu-Town-Council-OBB-Budget-2024-Final.pdf|3
2024|3|Integrated Development Planning|3095245.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/08/Chirundu-Town-Council-OBB-Budget-2024-Final.pdf|3
2024|4|Economic and Business Development|676430.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/08/Chirundu-Town-Council-OBB-Budget-2024-Final.pdf|3
2024|5|Public Health and Environmental Protection|3807485.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/08/Chirundu-Town-Council-OBB-Budget-2024-Final.pdf|3
2024|6|Housing and Community Amenities|13182722.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/08/Chirundu-Town-Council-OBB-Budget-2024-Final.pdf|3
2024|7|Recreation Culture and Religion|642134.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/08/Chirundu-Town-Council-OBB-Budget-2024-Final.pdf|3
2024|8|Education and Skills Development|228100.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/08/Chirundu-Town-Council-OBB-Budget-2024-Final.pdf|3
2024|9|Social Protection|137324.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/08/Chirundu-Town-Council-OBB-Budget-2024-Final.pdf|3
2024|10|Public Order and Safety|677220.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/08/Chirundu-Town-Council-OBB-Budget-2024-Final.pdf|3
2024|11|Management and Support Services|10845691.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/08/Chirundu-Town-Council-OBB-Budget-2024-Final.pdf|3
2024|12|Resource Mobilisation and Management|9150433.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/08/Chirundu-Town-Council-OBB-Budget-2024-Final.pdf|3
2024|13|District Health servcies|1457388.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/08/Chirundu-Town-Council-OBB-Budget-2024-Final.pdf|3
2024|14|Veterinary services|105899.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/08/Chirundu-Town-Council-OBB-Budget-2024-Final.pdf|3
2024|15|Transport Services|3742847.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/08/Chirundu-Town-Council-OBB-Budget-2024-Final.pdf|3
2025|1|Constituency Development|36058150.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Chirundu-2025-OBB-Annual-Budget-Final-K103.9-million...pdf|7
2025|2|Local Governance|3548140.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Chirundu-2025-OBB-Annual-Budget-Final-K103.9-million...pdf|7
2025|3|Integrated Development Planning|5329132.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Chirundu-2025-OBB-Annual-Budget-Final-K103.9-million...pdf|7
2025|4|Economic and Business Development|1007948.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Chirundu-2025-OBB-Annual-Budget-Final-K103.9-million...pdf|7
2025|5|Public Health and Environmental Protection|4038834.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Chirundu-2025-OBB-Annual-Budget-Final-K103.9-million...pdf|7
2025|6|Housing and Community Amenities|10232353.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Chirundu-2025-OBB-Annual-Budget-Final-K103.9-million...pdf|7
2025|7|Recreation Culture and Religion|736244.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Chirundu-2025-OBB-Annual-Budget-Final-K103.9-million...pdf|7
2025|8|Education and Skills Development|19241.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Chirundu-2025-OBB-Annual-Budget-Final-K103.9-million...pdf|7
2025|10|Public Order and Safety|5253277.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Chirundu-2025-OBB-Annual-Budget-Final-K103.9-million...pdf|7
2025|11|Management and Support Services|13868479.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Chirundu-2025-OBB-Annual-Budget-Final-K103.9-million...pdf|7
2025|12|Resource Mobilisation and Management|6883118.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Chirundu-2025-OBB-Annual-Budget-Final-K103.9-million...pdf|7
2025|13|District Health servcies|1467387.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Chirundu-2025-OBB-Annual-Budget-Final-K103.9-million...pdf|7
2025|15|Transport Services|3252077.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Chirundu-2025-OBB-Annual-Budget-Final-K103.9-million...pdf|7
2025|16|Agricultural Services|481034.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Chirundu-2025-OBB-Annual-Budget-Final-K103.9-million...pdf|7
2025|17|Fisheries and Livestock|795925.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Chirundu-2025-OBB-Annual-Budget-Final-K103.9-million...pdf|7
2025|18|Social Protection and Community Development|10958076.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Chirundu-2025-OBB-Annual-Budget-Final-K103.9-million...pdf|7
2026|1|Constituency Development|40032550.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/02/2026-OBB-Budget-K112.4Mn-Chirundu-Town-Council.pdf|7
2026|2|Local Governance|3622278.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/02/2026-OBB-Budget-K112.4Mn-Chirundu-Town-Council.pdf|7
2026|3|Integrated Development Planning|4222250.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/02/2026-OBB-Budget-K112.4Mn-Chirundu-Town-Council.pdf|7
2026|4|Economic and Business Development|776800.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/02/2026-OBB-Budget-K112.4Mn-Chirundu-Town-Council.pdf|7
2026|5|Public Health and Environmental Protection|3962957.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/02/2026-OBB-Budget-K112.4Mn-Chirundu-Town-Council.pdf|7
2026|6|Housing and Community Amenities|15857096.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/02/2026-OBB-Budget-K112.4Mn-Chirundu-Town-Council.pdf|7
2026|7|Recreation Culture and Religion|642904.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/02/2026-OBB-Budget-K112.4Mn-Chirundu-Town-Council.pdf|7
2026|8|Education and Skills Development|19241.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/02/2026-OBB-Budget-K112.4Mn-Chirundu-Town-Council.pdf|7
2026|10|Public Order and Safety|5502186.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/02/2026-OBB-Budget-K112.4Mn-Chirundu-Town-Council.pdf|7
2026|11|Management and Support Services|18783480.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/02/2026-OBB-Budget-K112.4Mn-Chirundu-Town-Council.pdf|7
2026|12|Resource Mobilisation and Management|4879538.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/02/2026-OBB-Budget-K112.4Mn-Chirundu-Town-Council.pdf|7
2026|13|District Health servcies|1540765.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/02/2026-OBB-Budget-K112.4Mn-Chirundu-Town-Council.pdf|7
2026|15|Transport Services|6402860.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/02/2026-OBB-Budget-K112.4Mn-Chirundu-Town-Council.pdf|7
2026|16|Agricultural Services|498034.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/02/2026-OBB-Budget-K112.4Mn-Chirundu-Town-Council.pdf|7
2026|17|Fisheries and Livestock|1003176.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/02/2026-OBB-Budget-K112.4Mn-Chirundu-Town-Council.pdf|7
2026|18|Social Protection and Community Development|4743451.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/02/2026-OBB-Budget-K112.4Mn-Chirundu-Town-Council.pdf|7
