year|subprogramme_code|subprogramme|amount_zmw|source_url|source_page
2022|779|Community Capital Projects|15420000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|7
2022|780|Youth Empowerment|2570000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|7
2022|781|Women Empowerment|2570000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|7
2022|782|Secondary School Barsaries|2570000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|7
2022|783|Skills Development Barsaries|2570000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|7
2023|779|Community Capital Projects|16980000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|8
2023|780|Youth Empowerment|2830000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|8
2023|781|Women Empowerment|2830000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|8
2023|782|Secondary School Barsaries|2830000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|8
2023|783|Skills Development Barsaries|2830000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|8
2024|779|Community Projects|17462316.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/08/Chirundu-Town-Council-OBB-Budget-2024-Final.pdf|4
2024|780|Women and Youth Empowerment|5820772.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/08/Chirundu-Town-Council-OBB-Budget-2024-Final.pdf|4
2024|781|CDF Administration|1531782.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/08/Chirundu-Town-Council-OBB-Budget-2024-Final.pdf|4
2024|782|Secondary School and Skills Development Bursaries|5820772.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/08/Chirundu-Town-Council-OBB-Budget-2024-Final.pdf|4
2025|779|Community Projects|21962692.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Chirundu-2025-OBB-Annual-Budget-Final-K103.9-million...pdf|8
2025|780|Women and Youth Empowerment|6228226.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Chirundu-2025-OBB-Annual-Budget-Final-K103.9-million...pdf|8
2025|781|CDF Administration|1639007.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Chirundu-2025-OBB-Annual-Budget-Final-K103.9-million...pdf|8
2025|782|Secondary School and Skills Development Bursaries|6228226.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Chirundu-2025-OBB-Annual-Budget-Final-K103.9-million...pdf|8
2026|779|Community Projects|24421050.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/02/2026-OBB-Budget-K112.4Mn-Chirundu-Town-Council.pdf|8
2026|780|Women and Youth Empowerment|6898105.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/02/2026-OBB-Budget-K112.4Mn-Chirundu-Town-Council.pdf|8
2026|781|CDF Administration|1815291.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/02/2026-OBB-Budget-K112.4Mn-Chirundu-Town-Council.pdf|8
2026|782|Secondary School and Skills Development Bursaries|6898105.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/02/2026-OBB-Budget-K112.4Mn-Chirundu-Town-Council.pdf|8
