fiscal_year|record_type|section|line_item|amount_current_zmw|amount_prior_zmw|approved_budget_zmw|actual_zmw|variance_zmw|variance_pct|is_material_variance|notes|source_document|source_page|member_file|period
2022|receipt||Local Taxes|695694.0|93816.0|||||||Financial-Statement-2022-Signed-Copy.pdf|11|db-unza26-csc4792-chirundu_2022_financials.csv|
2022|receipt||Fees and Charges|8638097.0|7210836.0|||||||Financial-Statement-2022-Signed-Copy.pdf|11|db-unza26-csc4792-chirundu_2022_financials.csv|
2022|receipt||Licences|183360.0|91625.0|||||||Financial-Statement-2022-Signed-Copy.pdf|11|db-unza26-csc4792-chirundu_2022_financials.csv|
2022|receipt||Levies|140638.0|121641.0|||||||Financial-Statement-2022-Signed-Copy.pdf|11|db-unza26-csc4792-chirundu_2022_financials.csv|
2022|receipt||Permits|1164859.0|903469.0|||||||Financial-Statement-2022-Signed-Copy.pdf|11|db-unza26-csc4792-chirundu_2022_financials.csv|
2022|receipt||Local Government Equalisation Fund|8731522.0|8982013.0|||||||Financial-Statement-2022-Signed-Copy.pdf|11|db-unza26-csc4792-chirundu_2022_financials.csv|
2022|receipt||Constituency Development Fund|23739911.0|1600000.0|||||||Financial-Statement-2022-Signed-Copy.pdf|11|db-unza26-csc4792-chirundu_2022_financials.csv|
2022|receipt||Other Grants|277720.0|99851.0|||||||Financial-Statement-2022-Signed-Copy.pdf|11|db-unza26-csc4792-chirundu_2022_financials.csv|
2022|receipt||Borrowings|0.0|0.0|||||||Financial-Statement-2022-Signed-Copy.pdf|11|db-unza26-csc4792-chirundu_2022_financials.csv|
2022|receipt||Commercial Venture|0.0|0.0|||||||Financial-Statement-2022-Signed-Copy.pdf|11|db-unza26-csc4792-chirundu_2022_financials.csv|
2022|receipt||Other Receipts|410627.0|311012.0|||||||Financial-Statement-2022-Signed-Copy.pdf|11|db-unza26-csc4792-chirundu_2022_financials.csv|
2022|payment||Personal Emoluments|11683871.0|9733551.0|||||||Financial-Statement-2022-Signed-Copy.pdf|11|db-unza26-csc4792-chirundu_2022_financials.csv|
2022|payment||Use of Goods and Services|12865891.0|7718976.0|||||||Financial-Statement-2022-Signed-Copy.pdf|11|db-unza26-csc4792-chirundu_2022_financials.csv|
2022|payment||Financial Charges|0.0|0.0|||||||Financial-Statement-2022-Signed-Copy.pdf|11|db-unza26-csc4792-chirundu_2022_financials.csv|
2022|payment||Social Benefits|0.0|0.0|||||||Financial-Statement-2022-Signed-Copy.pdf|11|db-unza26-csc4792-chirundu_2022_financials.csv|
2022|payment||Non-financial Assets Acquisition|3099650.0|226461.0|||||||Financial-Statement-2022-Signed-Copy.pdf|11|db-unza26-csc4792-chirundu_2022_financials.csv|
2022|payment||Financial Assets|44055.0|258829.0|||||||Financial-Statement-2022-Signed-Copy.pdf|11|db-unza26-csc4792-chirundu_2022_financials.csv|
2022|payment||Loan Repayments|0.0|0.0|||||||Financial-Statement-2022-Signed-Copy.pdf|11|db-unza26-csc4792-chirundu_2022_financials.csv|
