year|statement|section|subsection|row_type|description|amount_zmw|source_url|source_page|notes
2022|Council|receipts||detail|Local Taxes|695694.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|11|
2022|Council|receipts||detail|Fees and Charges|8638097.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|11|
2022|Council|receipts||detail|Licences|183360.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|11|
2022|Council|receipts||detail|Levies|140638.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|11|
2022|Council|receipts||detail|Permits|1164859.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|11|
2022|Council|receipts||detail|Local Government Equalisation Fund|8731522.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|11|
2022|Council|receipts||detail|Constituency Development Fund|23739911.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|11|
2022|Council|receipts||detail|Other Grants|277720.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|11|
2022|Council|receipts||detail|Borrowings||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|11|
2022|Council|receipts||detail|Commercial Venture||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|11|
2022|Council|receipts||detail|Other Receipts|410627.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|11|
2022|Council|receipts||total|TOTAL RECEIPTS|43982428.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|11|
2022|Council|payments||detail|Personal Emoluments|11683871.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|11|
2022|Council|payments||detail|Use of Goods and Services|12865891.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|11|
2022|Council|payments||detail|Financial Charges||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|11|
2022|Council|payments||detail|Social benefits||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|11|
2022|Council|payments||detail|Non-financial Assets Acquisition|3099650.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|11|
2022|Council|payments||detail|Financial Assets|44055.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|11|
2022|Council|payments||detail|Loan Repayments||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|11|
2022|Council|payments||detail|Other Payments|660413.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|11|
2022|Council|payments||total|TOTAL PAYMENTS|28353881.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|11|
2022|Council|cash balance||balance|Increase/(decrease) in Cash|15628547.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|11|
2022|Council|cash balance||balance|Foreign Exchange Losses||http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|11|
2022|Council|cash balance||balance|Cash at beginning of the year|5426913.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|11|
