year|category|programme_or_output|page|budget_amount|currency|notes|source_file|revenue_type|amount_1|amount_2|amount_3|member_file|target_value|target_unit
2023|Local Revenue|Resource Mobilisation and Management|30.0||ZMW|Programme objective: increase and enhance resource mobilisation and optimisation.|chirundu_obb_2023.pdf.pdf|||||db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue Output|Percentage of Local Revenue Target Achieved|30.0|||Programme output.|chirundu_obb_2023.pdf.pdf|||||db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue Output|Automated Cash Collection Application Launched (Airtel)|30.0|||Programme output.|chirundu_obb_2023.pdf.pdf|||||db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue Output|Compliance in Revenue Collection against Bankings|30.0|||Programme output.|chirundu_obb_2023.pdf.pdf|||||db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue Output|Billing System (Dove) Procured|30.0|50000.0|ZMW|Narrative on page 31 states K0.05 million was allocated for the billing system.|chirundu_obb_2023.pdf.pdf|||||db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue Output|Percentage of Revenue Increased|30.0|||Target: increase revenue by 10% from the previous year.|chirundu_obb_2023.pdf.pdf|||||db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue|Resource Mobilisation and Management — total allocation|31.0|4500000.0|ZMW|Total programme allocation: K4.5 million.|chirundu_obb_2023.pdf.pdf|||||db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue|Personal Emoluments for Revenue Mobilisation|31.0|3950000.0|ZMW|Narrative allocation: K3.95 million.|chirundu_obb_2023.pdf.pdf|||||db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue|Evaluation Roll|31.0|500000.0|ZMW|Narrative allocation: K0.5 million.|chirundu_obb_2023.pdf.pdf|||||db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|CDF|Number of CDF Projects Implemented|20.0|15.0||Council planned to fully implement 15 ongoing CDF projects.|chirundu_obb_2023.pdf.pdf|||||db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|CDF|CDF Projects|20.0|||Capital projects for 2023 include a VIP latrine at M15 Checkpoint, an ablution block, and a dumpsite borehole.|chirundu_obb_2023.pdf.pdf|||||db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Programme Output|Number of WDF Projects Implemented|20.0|12.0||Narrative refers to 12 WDC projects; retain the document wording when reviewing.|chirundu_obb_2023.pdf.pdf|||||db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Programme Output|Market Fees Collected|20.0|||Council planned to accommodate 70 marketers to support increased market-fee collection.|chirundu_obb_2023.pdf.pdf|||||db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Programme Output|Roads Maintained|20.0|50.0|Kilometres|Planned maintenance of 50 kilometres of road.|chirundu_obb_2023.pdf.pdf|||||db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Programme Output|Public Amenities Maintained|20.0|20.0|Units|Planned maintenance of 20 public amenities.|chirundu_obb_2023.pdf.pdf|||||db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|CDF|Constituency Development Programme|11.0|28300000.0|ZMW|Total allocation towards use of goods and services: K28.3 million.|chirundu_obb_2023.pdf.pdf|||||db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|CDF|Community-Based Projects|11.0|16980000.0|ZMW|CDF allocation for community-based projects.|chirundu_obb_2023.pdf.pdf|||||db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|CDF|Youth and Women Empowerment|11.0|5660000.0|ZMW|CDF allocation for youth and women empowerment.|chirundu_obb_2023.pdf.pdf|||||db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|CDF|Secondary Boarding and Skills Development Bursaries|11.0|5660000.0|ZMW|CDF allocation for bursaries.|chirundu_obb_2023.pdf.pdf|||||db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue|Residential|3.0|126064.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Local Taxes/Rates|126064.0|136401.0|146359.0|db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue|Industrial/Commercial|3.0|324666.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Local Taxes/Rates|324666.0|351289.0|376933.0|db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue|Personal levy|3.0|34350.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Local Taxes/Rates|34350.0|37167.0|39880.0|db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue|Consent fees|3.0|132000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|132000.0|142824.0|153250.0|db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue|Survey fees|3.0|300000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|300000.0|324600.0|348296.0|db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue|Building inspection-fees|3.0|40000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|40000.0|43280.0|46439.0|db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue|Plan scrutiny fee|3.0|73644.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|73644.0|79683.0|85499.0|db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue|Change of premise use|3.0|7500.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|7500.0|8115.0|8707.0|db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue|Container/Ntemba fees|3.0|174000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|174000.0|188268.0|202012.0|db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue|Application forms fees|3.0|60000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|60000.0|64920.0|69659.0|db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue|Notice board advert fees|3.0|2200.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|2200.0|2380.0|2554.0|db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue|Market fees|3.0|90000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|90000.0|97380.0|104489.0|db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue|Parking fees|3.0|8475000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|8475000.0|9169950.0|9839356.0|db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue|Bus station fees|3.0|31500.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|31500.0|34083.0|36571.0|db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue|Affidavit fees|3.0|20000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|20000.0|21640.0|23220.0|db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue|Hire of halls|3.0|1200.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|1200.0|1298.0|1393.0|db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue|Course fees|3.0|3500.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|3500.0|3787.0|4063.0|db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue|Refuse disposal|3.0|446000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|446000.0|482572.0|517800.0|db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue|Notice of marriage fees|3.0|18500.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|18500.0|20017.0|21478.0|db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue|Registration of clubs and societies|3.0|40000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|40000.0|43280.0|46439.0|db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
2023|Local Revenue|Communication mast levy|3.0|24500.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|24500.0|26509.0|28444.0|db-unza26-csc4792-chirundu_town_council_2023_extracted.csv||
