period_start|period_end|section|category|row_type|source_code|description|annual_budget_zmw|actual_to_date_zmw|reported_variance_zmw|performance_as_printed|source_url|source_page|notes
2025-01-01|2025-06-30|receipts|National Support|detail|1.1|Local Government Equalisation Fund|8399999.98|3056652.61|5343347.37|36%|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/12/2025-BI-ANNUAL-PERFORMANCE-REPORT.pdf|1|
2025-01-01|2025-06-30|receipts|National Support|detail|1.2|Grants In Lieu of Rates|150000.0|150000.0||100%|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/12/2025-BI-ANNUAL-PERFORMANCE-REPORT.pdf|1|
2025-01-01|2025-06-30|receipts|National Support|detail|1.3|Sector Grants|13205709.0|4697433.69|8508275.31|36%|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/12/2025-BI-ANNUAL-PERFORMANCE-REPORT.pdf|1|
2025-01-01|2025-06-30|receipts|National Support|detail|1.4|ZDSP Capital Grants|8340000.0||8340000.0|0%|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/12/2025-BI-ANNUAL-PERFORMANCE-REPORT.pdf|1|
2025-01-01|2025-06-30|receipts|National Support|detail|1.5|Constituency Development Fund|36058150.6|20287381.52|15770769.08|56%|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/12/2025-BI-ANNUAL-PERFORMANCE-REPORT.pdf|1|
2025-01-01|2025-06-30|receipts|National Support|detail|1.6|Other Grants|3200587.0||3200587.0|0%|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/12/2025-BI-ANNUAL-PERFORMANCE-REPORT.pdf|1|
2025-01-01|2025-06-30|receipts|National Support|subtotal||Sub - total|69354446.58|28191467.82|41162978.76|41%|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/12/2025-BI-ANNUAL-PERFORMANCE-REPORT.pdf|1|
2025-01-01|2025-06-30|receipts|Own Source Revenue|detail|2.1|Local Taxes|795014.43|274579.26|520435.17|35%|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/12/2025-BI-ANNUAL-PERFORMANCE-REPORT.pdf|1|
2025-01-01|2025-06-30|receipts|Own Source Revenue|detail|2.2|Fee & Charges|29171743.17|11372766.2|17798976.97|39%|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/12/2025-BI-ANNUAL-PERFORMANCE-REPORT.pdf|1|
2025-01-01|2025-06-30|receipts|Own Source Revenue|detail|2.3|Licences|505480.0|141606.0|363874.0|28%|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/12/2025-BI-ANNUAL-PERFORMANCE-REPORT.pdf|1|
2025-01-01|2025-06-30|receipts|Own Source Revenue|detail|2.4|Levies|231386.67|63477.5|167909.17|27%|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/12/2025-BI-ANNUAL-PERFORMANCE-REPORT.pdf|1|
