category|procurement_item|estimated_amount_zmw|source_of_funds|procurement_method|planned_award_date|year|source_document|source_page
goods|Procurement of computer peripherals, equipments and accessories|757469.0|Local Revenue|sb|2026-02-18|2026|069--APP-CTC-2026.xls|Data
goods|Procurement of office stationery, tonners, books, files and other accessories|1000000.0|Local Revenue|sb|2026-02-02|2026|069--APP-CTC-2026.xls|Data
goods|Procurement of office stationery, tonners, books, files and other accessories (Additional)|579690.0|Local Revenue|sb|2026-02-03|2026|069--APP-CTC-2026.xls|Data
goods|Procurement of Office furnitures for Audit, Procurement Unit and Finance dept (2026)|1000000.0|Local Revenue|sb|2026-03-06|2026|069--APP-CTC-2026.xls|Data
goods|Procurement of Office furnitures under Administration Dept (2026)|218800.0|Local Revenue|sb|2026-06-02|2026|069--APP-CTC-2026.xls|Data
goods|Procurement of cleaning materials|52440.0|Local Revenue|sb|2026-02-02|2026|069--APP-CTC-2026.xls|Data
consulting services|Servicing of air conditioners for the Council Offices|78862.0|Local Revenue|sb|2026-03-31|2026|069--APP-CTC-2026.xls|Data
works|Building maintenance|40000.0|Local Revenue|sb|2026-05-13|2026|069--APP-CTC-2026.xls|Data
goods|Procurement of T Shirts and Banners for public events commemorations|440050.0|Local Revenue|sb|2026-03-02|2026|069--APP-CTC-2026.xls|Data
non consulting services|Procurement of refreshments for the various institutional management and committee meetings|820660.0|Local Revenue|sb|2026-02-02|2026|069--APP-CTC-2026.xls|Data
goods|Procurement of fuel under RTSA for grading of township roads|777000.0|RTSA|db|2026-05-04|2026|069--APP-CTC-2026.xls|Data
non consulting services|Procurement of Zesco Units for the Council Offices|219000.0|Local Revenue|sb|2026-02-01|2026|069--APP-CTC-2026.xls|Data
consulting services|Motor Vehicle maintence|878000.0|Local Revenue|sb|2026-02-09|2026|069--APP-CTC-2026.xls|Data
goods|Procurement of handle GPS for Public Relations Unit|32000.0|Local Revenue|sb|2026-06-12|2026|069--APP-CTC-2026.xls|Data
goods|Procurement of fuel for other activities Council Operations under Administration Dept|1000000.0|Local Revenue|db|2026-02-01|2026|069--APP-CTC-2026.xls|Data
