fiscal_year|record_type|section|line_item|amount_current_zmw|amount_prior_zmw|approved_budget_zmw|actual_zmw|variance_zmw|variance_pct|is_material_variance|notes|source_document|source_page
2024|receipt||Local Taxes|486568|325162|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|12
2024|receipt||Fees and Charges|20310710|19134695|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|12
2024|receipt||Licences|371877|220900|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|12
2024|receipt||Levies|186848|163188|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|12
2024|receipt||Permits|2073393|1522608|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|12
2024|receipt||Local Government Equalisation Fund|9393949|8833102|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|12
2024|receipt||Constituency Development Fund|10675337|27261470|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|12
2024|receipt||Other Grants|2694736|12020|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|12
2024|receipt||Borrowings|0|0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|12
2024|receipt||Commercial Venture|200401|77959|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|12
2024|receipt||Sector Grant (Devolved Functions)|8154778|0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|12
2024|receipt||Other Receipts|387000|317359|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|12
2024|payment||Personal Emoluments|18947844|14807445|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|12
2024|payment||Use of Goods and Services|17169941|15921998|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|12
2024|payment||Financial Charges|0|0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|12
2024|payment||Social Benefits|7662922|9500657|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|12
2024|payment||Non-financial Assets Acquisition|18554528|15097519|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|12
2024|payment||Financial Assets|307185|5964128|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|12
2024|payment||Loan Repayments|0|0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|12
2024|payment||Other Payments|1386598|0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|12
2024|budget_vs_actual|Receipt|Local Taxes|||934214|486568|-447646|-48|True||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13
2024|budget_vs_actual|Receipt|Fees and Charges|||25175997|20310710|-4865288|-19|False||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13
2024|budget_vs_actual|Receipt|Licences|||355050|371877|16827|5|False||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13
2024|budget_vs_actual|Receipt|Levies|||133900|186848|52948|40|True||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13
2024|budget_vs_actual|Receipt|Permits|||2007550|2073393|65843|3|False||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13
2024|budget_vs_actual|Receipt|Local Government Equalisation Fund|||9708895|9393949|-314947|-3|False||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13
2024|budget_vs_actual|Receipt|Constituency Development Fund|||30635642|10675337|-19960305|-65|True||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13
