year|category|programme_or_output|page|budget_amount|currency|notes|source_file|revenue_type|amount_1|amount_2|amount_3
2023|Local Revenue|Resource Mobilisation and Management|30.0||ZMW|Programme objective: increase and enhance resource mobilisation and optimisation.|chirundu_obb_2023.pdf.pdf||||
2023|Local Revenue Output|Percentage of Local Revenue Target Achieved|30.0|||Programme output.|chirundu_obb_2023.pdf.pdf||||
2023|Local Revenue Output|Automated Cash Collection Application Launched (Airtel)|30.0|||Programme output.|chirundu_obb_2023.pdf.pdf||||
2023|Local Revenue Output|Compliance in Revenue Collection against Bankings|30.0|||Programme output.|chirundu_obb_2023.pdf.pdf||||
2023|Local Revenue Output|Billing System (Dove) Procured|30.0|50000.0|ZMW|Narrative on page 31 states K0.05 million was allocated for the billing system.|chirundu_obb_2023.pdf.pdf||||
2023|Local Revenue Output|Percentage of Revenue Increased|30.0|||Target: increase revenue by 10% from the previous year.|chirundu_obb_2023.pdf.pdf||||
2023|Local Revenue|Resource Mobilisation and Management — total allocation|31.0|4500000.0|ZMW|Total programme allocation: K4.5 million.|chirundu_obb_2023.pdf.pdf||||
2023|Local Revenue|Personal Emoluments for Revenue Mobilisation|31.0|3950000.0|ZMW|Narrative allocation: K3.95 million.|chirundu_obb_2023.pdf.pdf||||
2023|Local Revenue|Evaluation Roll|31.0|500000.0|ZMW|Narrative allocation: K0.5 million.|chirundu_obb_2023.pdf.pdf||||
2023|CDF|Number of CDF Projects Implemented|20.0|15.0||Council planned to fully implement 15 ongoing CDF projects.|chirundu_obb_2023.pdf.pdf||||
2023|CDF|CDF Projects|20.0|||Capital projects for 2023 include a VIP latrine at M15 Checkpoint, an ablution block, and a dumpsite borehole.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of WDF Projects Implemented|20.0|12.0||Narrative refers to 12 WDC projects; retain the document wording when reviewing.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Market Fees Collected|20.0|||Council planned to accommodate 70 marketers to support increased market-fee collection.|chirundu_obb_2023.pdf.pdf||||
