year|category|programme_or_output|page|budget_amount|currency|notes|source_file|target_value|target_unit
2025|Local Revenue|Residential|3|202069.0|ZMW|Revenue code 001; group: Local taxes/rates.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Commercial|3|253425.0|ZMW|Revenue code 002; group: Local taxes/rates.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Hospitality|3|294521.0|ZMW|Revenue code 004; group: Local taxes/rates.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Personal levy|3|45000.0|ZMW|Revenue code 001; group: Local taxes/rates.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Survey fees|3|28600.0|ZMW|Revenue code 002; group: Fees and Charges.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Building inspection-fees|3|20000.0|ZMW|Revenue code 003; group: Fees and Charges.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Plan scrutiny fee|3|50041.0|ZMW|Revenue code 004; group: Fees and Charges.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Change of premise use|3|27800.0|ZMW|Revenue code 005; group: Fees and Charges.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Rentals/lease of Council’s properties|3|9100.0|ZMW|Revenue code 007; group: Fees and Charges.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Search fees|3|500.0|ZMW|Revenue code 011; group: Fees and Charges.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Notice board advert fees|3|3000.0|ZMW|Revenue code 012; group: Fees and Charges.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Market fees|3|50206.0|ZMW|Revenue code 013; group: Fees and Charges.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Parking fees|3|28078895.0|ZMW|Revenue code 014; group: Fees and Charges.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Loading fees (buses, trucks, trains, taxies etc.)|3|31500.0|ZMW|Revenue code 016; group: Fees and Charges.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Hire of halls|3|10000.0|ZMW|Revenue code 020; group: Fees and Charges.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Refuse disposal|3|200000.0|ZMW|Revenue code 033; group: Fees and Charges.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Notice of marriage fees|3|20000.0|ZMW|Revenue code 045; group: Fees and Charges.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Registration of clubs and societies|3|11600.0|ZMW|Revenue code 047; group: Fees and Charges.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Land Record|3|10000.0|ZMW|Revenue code 059; group: Fees and Charges.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Billboards and banners|3|70000.0|ZMW|Revenue code 063; group: Fees and Charges.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Hire of Transport and Equipment|3|250000.0|ZMW|Revenue code 064; group: Fees and Charges.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Penalties|3|30000.0|ZMW|Revenue code 066; group: Fees and Charges.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Ablution Fee|3|80000.0|ZMW|Revenue code 067; group: Fees and Charges.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Booth fees|3|50000.0|ZMW|Revenue code 072; group: Fees and Charges.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Telecommunication site rentals|3|35000.0|ZMW|Revenue code 082; group: Fees and Charges.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Other fees and charges|3|75500.0|ZMW|Revenue code 099; group: Fees and Charges.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Occupancy licence|3|14500.0|ZMW|Revenue code 001; group: Licenses.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Liquor licence|3|200000.0|ZMW|Revenue code 002; group: Licenses.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Firearm and ammunition licence|3|25980.0|ZMW|Revenue code 003; group: Licenses.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Petroleum Storage licence|3|162000.0|ZMW|Revenue code 004; group: Licenses.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Dog licence|3|8000.0|ZMW|Revenue code 005; group: Licenses.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Other Licences|3|95000.0|ZMW|Revenue code 099; group: Licenses.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Livestock Movement levy|4|65649.0|ZMW|Revenue code 001; group: Levies.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Fish levy|4|10000.0|ZMW|Revenue code 003; group: Levies.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Pole levy|4|1500.0|ZMW|Revenue code 004; group: Levies.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Charcoal levy|4|70000.0|ZMW|Revenue code 005; group: Levies.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Sand levy|4|30739.0|ZMW|Revenue code 006; group: Levies.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Timber Levy|4|1000.0|ZMW|Revenue code 010; group: Levies.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Other levies|4|52499.0|ZMW|Revenue code 099; group: Levies.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Health permits|4|500000.0|ZMW|Revenue code 001; group: Permits.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Permit for opaque beer|4|113600.0|ZMW|Revenue code 002; group: Permits.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Herbalist permit|4|480.0|ZMW|Revenue code 003; group: Permits.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Burial permits and grave sites|4|20000.0|ZMW|Revenue code 008; group: Permits.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Fire certificate|4|400000.0|ZMW|Revenue code 009; group: Permits.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Extension of Business hours permits|4|1500000.0|ZMW|Revenue code 010; group: Permits.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Social gathering permit|4|3750.0|ZMW|Revenue code 011; group: Permits.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Primary, Secondary and Tertiary permits|4|23750.0|ZMW|Revenue code 099; group: Permits.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Service Charges Residential plots|4|20000.0|ZMW|Revenue code 001; group: Charges.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Service Charges Industrial plots|4|10000.0|ZMW|Revenue code 002; group: Charges.|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Other Income|4|309765.0|ZMW|Revenue code 099; group: Other Incomes.|chirundu_obb_2025.pdf.pdf||
2025|CDF|Constituency Development Fund|4|36058151.0|ZMW|Revenue code 001; group: National Support (Grants).|chirundu_obb_2025.pdf.pdf||
2025|Revenue|Roads Grant|4|3200587.0|ZMW|Revenue code 002; group: National Support (Grants).|chirundu_obb_2025.pdf.pdf||
2025|LGEF|Local Government Equalisation Fund|4|8400000.0|ZMW|Revenue code 004; group: National Support (Grants).|chirundu_obb_2025.pdf.pdf||
2025|Revenue|Grants in lieu of Rates|4|150000.0|ZMW|Revenue code 005; group: National Support (Grants).|chirundu_obb_2025.pdf.pdf||
2025|Revenue|Other Grants|4|13205708.0|ZMW|Revenue code 099; group: National Support (Grants).|chirundu_obb_2025.pdf.pdf||
2025|Revenue|Capital Grant Credit ($300k)|4|8340000.0|ZMW|Revenue code 002; group: National Support (Grants).|chirundu_obb_2025.pdf.pdf||
2025|Local Revenue|Surplus/Deficit from Commercial Ventures|4|1000000.0|ZMW|Revenue code 002; group: Other Incomes. Added after OCR review.|chirundu_obb_2025.pdf.pdf||
2025|Programme|Constituency Development|7|36058150.0|ZMW|Programme code 1; 2025 budget allocation.|chirundu_obb_2025.pdf.pdf||
2025|Programme|Local Governance|7|3548140.0|ZMW|Programme code 2; 2025 budget allocation.|chirundu_obb_2025.pdf.pdf||
2025|Programme|Integrated Development Planning|7|5329132.0|ZMW|Programme code 3; 2025 budget allocation.|chirundu_obb_2025.pdf.pdf||
2025|Programme|Economic and Business Development|7|1007948.0|ZMW|Programme code 4; 2025 budget allocation.|chirundu_obb_2025.pdf.pdf||
2025|Programme|Public Health and Environmental Protection|7|4038834.0|ZMW|Programme code 5; 2025 budget allocation.|chirundu_obb_2025.pdf.pdf||
2025|Programme|Housing and Community Amenities|7|10232353.0|ZMW|Programme code 6; 2025 budget allocation.|chirundu_obb_2025.pdf.pdf||
2025|Programme|Recreation Culture and Religion|7|736244.0|ZMW|Programme code 7; 2025 budget allocation.|chirundu_obb_2025.pdf.pdf||
2025|Programme|Education and Skills Development|7|19241.0|ZMW|Programme code 8; 2025 budget allocation.|chirundu_obb_2025.pdf.pdf||
2025|Programme|Public Order and Safety|7|5253277.0|ZMW|Programme code 10; 2025 budget allocation.|chirundu_obb_2025.pdf.pdf||
2025|Programme|Management and Support Services|7|13868479.0|ZMW|Programme code 11; 2025 budget allocation.|chirundu_obb_2025.pdf.pdf||
2025|Programme|Resource Mobilisation and Management|7|6883118.0|ZMW|Programme code 12; 2025 budget allocation.|chirundu_obb_2025.pdf.pdf||
2025|Programme|District Health Services|7|1467387.0|ZMW|Programme code 13; 2025 budget allocation.|chirundu_obb_2025.pdf.pdf||
2025|Programme|Transport Services|7|3252077.0|ZMW|Programme code 15; 2025 budget allocation.|chirundu_obb_2025.pdf.pdf||
2025|Programme|Agricultural Services|7|481034.0|ZMW|Programme code 16; 2025 budget allocation.|chirundu_obb_2025.pdf.pdf||
2025|Programme|Fisheries and Livestock|7|795925.0|ZMW|Programme code 17; 2025 budget allocation.|chirundu_obb_2025.pdf.pdf||
2025|Programme|Social Protection and Community Development|7|10958076.0|ZMW|Programme code 18; 2025 budget allocation.|chirundu_obb_2025.pdf.pdf||
2025|Output|Percentage of Community Projects implemented|14||ZMW|Programme 1: Constituency Development; Key output: None; Indicator 01.|chirundu_obb_2025.pdf.pdf|100.0|percent
2025|Output|Percentage of approved grant applicants empowered|14||ZMW|Programme 1: Constituency Development; Key output: None; Indicator 01.|chirundu_obb_2025.pdf.pdf|100.0|percent
2025|Output|Percentage of approved loan applicants empowered|14||ZMW|Programme 1: Constituency Development; Key output: None; Indicator 02.|chirundu_obb_2025.pdf.pdf|100.0|percent
2025|Output|Number of monitoring and evaluation activities conducted|14||ZMW|Programme 1: Constituency Development; Key output: None; Indicator 01.|chirundu_obb_2025.pdf.pdf|8.0|count
2025|Output|Number of project appraisals carried out|14||ZMW|Programme 1: Constituency Development; Key output: None; Indicator 02.|chirundu_obb_2025.pdf.pdf|2.0|count
2025|Output|Percentage approved Skills bursaries applicants sponsored|14||ZMW|Programme 1: Constituency Development; Key output: None; Indicator 01.|chirundu_obb_2025.pdf.pdf|100.0|percent
2025|Output|Percentage approved Secondary bursaries applicants sponsored|14||ZMW|Programme 1: Constituency Development; Key output: None; Indicator 02.|chirundu_obb_2025.pdf.pdf|100.0|percent
2025|Output|Number of Ordinary Council Meetings Held|16||ZMW|Programme 2: Local Governance; Key output: None; Indicator 01.|chirundu_obb_2025.pdf.pdf|4.0|count
